Year,LEA,LEA Name,School,School Name,Assessment,Student Group,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2024,02,Anne Arundel,3112,Jessup Elementary,English Language Arts 05,All Students,72,40,55.6,13.9,30.6,47.2,8.3,20240903
2024,02,Anne Arundel,3112,Jessup Elementary, English Language Arts All Grades,All Students,245,122,49.8,9.8,40.4,44.5,5.3,20240903
2024,02,Anne Arundel,3122,Manor View Elementary,English Language Arts 03,All Students,47,31,66.0,6.4,27.7,57.4,8.5,20240903
2024,02,Anne Arundel,3122,Manor View Elementary,English Language Arts 04,All Students,32,22,68.8,<= 5.0,28.1,65.6,<= 5.0,20240903
2024,02,Anne Arundel,3122,Manor View Elementary,English Language Arts 05,All Students,31,15,48.4,<= 5.0,48.4,48.4,<= 5.0,20240903
2024,02,Anne Arundel,3122,Manor View Elementary, English Language Arts All Grades,All Students,110,68,61.8,<= 5.0,33.6,57.3,<= 5.0,20240903
2024,02,Anne Arundel,3132,Maryland City Elementary,English Language Arts 03,All Students,69,17,24.6,8.7,66.7,24.6,<= 5.0,20240903
2024,02,Anne Arundel,3132,Maryland City Elementary,English Language Arts 04,All Students,62,22,35.5,25.8,38.7,33.9,<= 5.0,20240903
2024,02,Anne Arundel,3132,Maryland City Elementary,English Language Arts 05,All Students,59,15,25.4,20.3,54.2,23.7,<= 5.0,20240903
2024,02,Anne Arundel,3132,Maryland City Elementary, English Language Arts All Grades,All Students,190,54,28.4,17.9,53.7,27.4,<= 5.0,20240903
2024,02,Anne Arundel,3142,Meade Heights Elementary,English Language Arts 03,All Students,57,16,28.1,12.3,59.6,24.6,<= 5.0,20240903
2024,02,Anne Arundel,3142,Meade Heights Elementary,English Language Arts 04,All Students,67,27,40.3,16.4,43.3,35.8,<= 5.0,20240903
2024,02,Anne Arundel,3142,Meade Heights Elementary,English Language Arts 05,All Students,58,20,34.5,22.4,43.1,32.8,<= 5.0,20240903
2024,02,Anne Arundel,3142,Meade Heights Elementary, English Language Arts All Grades,All Students,182,63,34.6,17.0,48.4,31.3,<= 5.0,20240903
2024,02,Anne Arundel,3152,Van Bokkelen Elementary,English Language Arts 03,All Students,51,12,23.5,13.7,62.7,23.5,<= 5.0,20240903
2024,02,Anne Arundel,3152,Van Bokkelen Elementary,English Language Arts 04,All Students,66,9,13.6,25.8,60.6,13.6,<= 5.0,20240903
2024,02,Anne Arundel,3152,Van Bokkelen Elementary,English Language Arts 05,All Students,65,8,12.3,38.5,49.2,12.3,<= 5.0,20240903
2024,02,Anne Arundel,3152,Van Bokkelen Elementary, English Language Arts All Grades,All Students,182,29,15.9,26.9,57.1,15.9,<= 5.0,20240903
2024,02,Anne Arundel,3162,Millersville Elementary,English Language Arts 03,All Students,58,26,44.8,6.9,48.3,37.9,6.9,20240903
2024,02,Anne Arundel,3162,Millersville Elementary,English Language Arts 04,All Students,70,50,71.4,5.7,22.9,67.1,<= 5.0,20240903
2024,02,Anne Arundel,3162,Millersville Elementary,English Language Arts 05,All Students,61,33,54.1,8.2,37.7,52.5,<= 5.0,20240903
2024,02,Anne Arundel,3162,Millersville Elementary, English Language Arts All Grades,All Students,189,109,57.7,6.9,35.4,53.4,<= 5.0,20240903
2024,02,Anne Arundel,3172,Odenton Elementary,English Language Arts 03,All Students,96,42,43.8,6.3,50.0,42.7,<= 5.0,20240903
2024,02,Anne Arundel,3172,Odenton Elementary,English Language Arts 04,All Students,101,59,58.4,<= 5.0,36.6,48.5,9.9,20240903
2024,02,Anne Arundel,3172,Odenton Elementary,English Language Arts 05,All Students,89,41,46.1,14.6,39.3,39.3,6.7,20240903
2024,02,Anne Arundel,3172,Odenton Elementary, English Language Arts All Grades,All Students,286,142,49.7,8.4,42.0,43.7,5.9,20240903
2024,02,Anne Arundel,3182,Pershing Hill Elementary,English Language Arts 03,All Students,99,56,56.6,11.1,32.3,55.6,<= 5.0,20240903
2024,02,Anne Arundel,3182,Pershing Hill Elementary,English Language Arts 04,All Students,92,46,50.0,9.8,40.2,48.9,<= 5.0,20240903
2024,02,Anne Arundel,3182,Pershing Hill Elementary,English Language Arts 05,All Students,96,45,46.9,7.3,45.8,42.7,<= 5.0,20240903
