Year,LEA,LEA Name,School,School Name,Assessment,Student Group,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2023,01,Allegany,0301,Flintstone Elementary,English Language Arts 03,All Students,26,12,46.2,<= 5.0,50.0,42.3,<= 5.0,20241015
2023,01,Allegany,0301,Flintstone Elementary,English Language Arts 04,All Students,31,21,67.7,<= 5.0,29.0,61.3,6.5,20241015
2023,01,Allegany,0301,Flintstone Elementary,English Language Arts 05,All Students,35,20,57.1,8.6,34.3,51.4,5.7,20241015
2023,01,Allegany,0301,Flintstone Elementary, English Language Arts All Grades,All Students,92,53,57.6,5.4,37.0,52.2,5.4,20241015
2023,01,Allegany,0401,South Penn Elementary,English Language Arts 03,All Students,62,19,30.6,<= 5.0,66.1,30.6,<= 5.0,20241015
2023,01,Allegany,0401,South Penn Elementary,English Language Arts 04,All Students,86,22,25.6,23.3,51.2,23.3,<= 5.0,20241015
2023,01,Allegany,0401,South Penn Elementary,English Language Arts 05,All Students,81,21,25.9,13.6,60.5,25.9,<= 5.0,20241015
2023,01,Allegany,0401,South Penn Elementary, English Language Arts All Grades,All Students,229,62,27.1,14.4,58.5,26.2,<= 5.0,20241015
2023,01,Allegany,0402,John Humbird Elementary,English Language Arts 03,All Students,35,16,45.7,14.3,40.0,42.9,<= 5.0,20241015
2023,01,Allegany,0402,John Humbird Elementary,English Language Arts 04,All Students,31,11,35.5,25.8,38.7,35.5,<= 5.0,20241015
2023,01,Allegany,0402,John Humbird Elementary,English Language Arts 05,All Students,32,7,21.9,18.8,59.4,21.9,<= 5.0,20241015
2023,01,Allegany,0402,John Humbird Elementary, English Language Arts All Grades,All Students,98,34,34.7,19.4,45.9,33.7,<= 5.0,20241015
2023,01,Allegany,0405,Fort Hill High,English Language Arts 10,All Students,254,119,46.9,6.7,46.5,39.4,7.5,20241015
2023,01,Allegany,0405,Fort Hill High, English Language Arts All Grades,All Students,254,119,46.9,6.7,46.5,39.4,7.5,20241015
2023,01,Allegany,0406,Washington Middle,English Language Arts 06,All Students,178,73,41.0,19.1,39.9,36.5,<= 5.0,20241015
2023,01,Allegany,0406,Washington Middle,English Language Arts 07,All Students,190,64,33.7,10.5,55.8,30.5,<= 5.0,20241015
2023,01,Allegany,0406,Washington Middle,English Language Arts 08,All Students,186,86,46.2,14.5,39.2,45.2,<= 5.0,20241015
2023,01,Allegany,0406,Washington Middle, English Language Arts All Grades,All Students,554,223,40.3,14.6,45.1,37.4,<= 5.0,20241015
2023,01,Allegany,0502,Northeast Elementary,English Language Arts 03,All Students,41,22,53.7,<= 5.0,43.9,51.2,<= 5.0,20241015
2023,01,Allegany,0502,Northeast Elementary,English Language Arts 04,All Students,41,24,58.5,<= 5.0,36.6,48.8,9.8,20241015
2023,01,Allegany,0502,Northeast Elementary,English Language Arts 05,All Students,39,21,53.8,5.1,41.0,48.7,5.1,20241015
2023,01,Allegany,0502,Northeast Elementary, English Language Arts All Grades,All Students,121,67,55.4,<= 5.0,40.5,49.6,5.8,20241015
2023,01,Allegany,0504,Braddock Middle,English Language Arts 06,All Students,201,125,62.2,7.5,30.3,52.7,9.5,20241015
2023,01,Allegany,0504,Braddock Middle,English Language Arts 07,All Students,191,112,58.6,<= 5.0,36.6,56.5,<= 5.0,20241015
2023,01,Allegany,0504,Braddock Middle,English Language Arts 08,All Students,188,97,51.6,6.9,41.5,51.1,<= 5.0,20241015
2023,01,Allegany,0504,Braddock Middle, English Language Arts All Grades,All Students,580,334,57.6,6.4,36.0,53.4,<= 5.0,20241015
2023,01,Allegany,0601,Center for Career & Technical Education,English Language Arts 10,All Students,105,21,20.0,9.5,70.5,20.0,<= 5.0,20241015
2023,01,Allegany,0601,Center for Career & Technical Education, English Language Arts All Grades,All Students,105,21,20.0,9.5,70.5,20.0,<= 5.0,20241015
2023,01,Allegany,0603,West Side Elementary,English Language Arts 03,All Students,52,25,48.1,<= 5.0,48.1,44.2,<= 5.0,20241015
2023,01,Allegany,0603,West Side Elementary,English Language Arts 04,All Students,51,26,51.0,9.8,39.2,47.1,<= 5.0,20241015
2023,01,Allegany,0603,West Side Elementary,English Language Arts 05,All Students,55,24,43.6,12.7,43.6,43.6,<= 5.0,20241015
2023,01,Allegany,0603,West Side Elementary, English Language Arts All Grades,All Students,158,75,47.5,8.9,43.7,44.9,<= 5.0,20241015
2023,01,Allegany,0606,Allegany High,English Language Arts 10,All Students,237,147,62.0,<= 5.0,33.8,54.0,8.0,20241015
2023,01,Allegany,0606,Allegany High, English Language Arts All Grades,All Students,237,147,62.0,<= 5.0,33.8,54.0,8.0,20241015
2023,01,Allegany,0701,Cresaptown Elementary,English Language Arts 03,All Students,46,27,58.7,<= 5.0,37.0,56.5,<= 5.0,20241015
2023,01,Allegany,0701,Cresaptown Elementary,English Language Arts 04,All Students,43,22,51.2,9.3,39.5,44.2,7.0,20241015
2023,01,Allegany,0701,Cresaptown Elementary,English Language Arts 05,All Students,48,24,50.0,<= 5.0,47.9,45.8,<= 5.0,20241015
2023,01,Allegany,0701,Cresaptown Elementary, English Language Arts All Grades,All Students,137,73,53.3,5.1,41.6,48.9,<= 5.0,20241015
2023,01,Allegany,0702,Bel Air Elementary,English Language Arts 03,All Students,29,16,55.2,<= 5.0,41.4,55.2,<= 5.0,20241015
2023,01,Allegany,0702,Bel Air Elementary,English Language Arts 04,All Students,36,22,61.1,13.9,25.0,58.3,<= 5.0,20241015
2023,01,Allegany,0702,Bel Air Elementary,English Language Arts 05,All Students,26,13,50.0,<= 5.0,46.2,50.0,<= 5.0,20241015
2023,01,Allegany,0702,Bel Air Elementary, English Language Arts All Grades,All Students,91,51,56.0,7.7,36.3,54.9,<= 5.0,20241015
2023,01,Allegany,0801,Westernport Elementary,English Language Arts 03,All Students,42,19,45.2,<= 5.0,52.4,38.1,7.1,20241015
2023,01,Allegany,0801,Westernport Elementary,English Language Arts 04,All Students,41,15,36.6,9.8,53.7,34.1,<= 5.0,20241015
2023,01,Allegany,0801,Westernport Elementary,English Language Arts 05,All Students,42,17,40.5,9.5,50.0,40.5,<= 5.0,20241015
