"","GEOID","NAME","variable","Income_per_cap","moe"
"114","20815","ZCTA5 20815","B19301_001",131556,7502
"115","20816","ZCTA5 20816","B19301_001",116348,7903
"116","20817","ZCTA5 20817","B19301_001",121150,8562
"117","20818","ZCTA5 20818","B19301_001",146657,45006
"118","20832","ZCTA5 20832","B19301_001",67017,5032
"119","20833","ZCTA5 20833","B19301_001",66763,4677
"120","20837","ZCTA5 20837","B19301_001",69955,6417
"121","20838","ZCTA5 20838","B19301_001",62236,21075
"122","20839","ZCTA5 20839","B19301_001",63591,34826
"123","20841","ZCTA5 20841","B19301_001",68603,7300
"124","20842","ZCTA5 20842","B19301_001",64766,10247
"125","20850","ZCTA5 20850","B19301_001",67423,3080
"126","20851","ZCTA5 20851","B19301_001",47505,4272
"127","20852","ZCTA5 20852","B19301_001",74110,4604
"128","20853","ZCTA5 20853","B19301_001",55810,3198
"129","20854","ZCTA5 20854","B19301_001",110500,4957
"130","20855","ZCTA5 20855","B19301_001",66362,4658
"131","20860","ZCTA5 20860","B19301_001",85608,28289
"132","20861","ZCTA5 20861","B19301_001",78330,21370
"133","20862","ZCTA5 20862","B19301_001",99972,31902
"134","20866","ZCTA5 20866","B19301_001",46450,3853
"135","20868","ZCTA5 20868","B19301_001",39523,15771
"136","20871","ZCTA5 20871","B19301_001",58295,3895
"137","20872","ZCTA5 20872","B19301_001",56640,4314
"138","20874","ZCTA5 20874","B19301_001",50989,2761
"139","20876","ZCTA5 20876","B19301_001",45776,3407
"140","20877","ZCTA5 20877","B19301_001",38859,2896
"141","20878","ZCTA5 20878","B19301_001",69898,2690
"142","20879","ZCTA5 20879","B19301_001",45736,3705
"143","20880","ZCTA5 20880","B19301_001",85758,14088
"144","20882","ZCTA5 20882","B19301_001",79340,7677
"145","20886","ZCTA5 20886","B19301_001",44800,2650
"146","20895","ZCTA5 20895","B19301_001",80692,4734
"147","20896","ZCTA5 20896","B19301_001",106754,10592
"148","20899","ZCTA5 20899","B19301_001",19937,5405
"149","20901","ZCTA5 20901","B19301_001",58121,2624
"150","20902","ZCTA5 20902","B19301_001",48887,2703
"151","20903","ZCTA5 20903","B19301_001",28359,2169
"152","20904","ZCTA5 20904","B19301_001",48162,2913
"153","20905","ZCTA5 20905","B19301_001",55508,3690
"154","20906","ZCTA5 20906","B19301_001",43855,2171
"155","20910","ZCTA5 20910","B19301_001",69167,3411
"156","20912","ZCTA5 20912","B19301_001",49784,3595
"157","21001","ZCTA5 21001","B19301_001",40698,2393
"158","21005","ZCTA5 21005","B19301_001",55050,9557
"159","21009","ZCTA5 21009","B19301_001",50399,2749
"160","21010","ZCTA5 21010","B19301_001",21764,12885
"161","21012","ZCTA5 21012","B19301_001",60885,3416
"162","21013","ZCTA5 21013","B19301_001",72180,10369
"163","21014","ZCTA5 21014","B19301_001",50990,2291
"164","21015","ZCTA5 21015","B19301_001",57656,2814
"165","21017","ZCTA5 21017","B19301_001",46460,4572
"166","21028","ZCTA5 21028","B19301_001",61222,7944
"167","21029","ZCTA5 21029","B19301_001",90259,5999
"168","21030","ZCTA5 21030","B19301_001",59252,4150
"169","21031","ZCTA5 21031","B19301_001",NA,NA
"170","21032","ZCTA5 21032","B19301_001",80056,10727
"171","21034","ZCTA5 21034","B19301_001",43113,6709
"172","21035","ZCTA5 21035","B19301_001",77429,8488
"173","21036","ZCTA5 21036","B19301_001",82411,15673
"174","21037","ZCTA5 21037","B19301_001",67149,5236
"175","21040","ZCTA5 21040","B19301_001",37072,2353
"176","21042","ZCTA5 21042","B19301_001",77562,3782
"177","21043","ZCTA5 21043","B19301_001",64911,2548
"178","21044","ZCTA5 21044","B19301_001",67519,4010
"179","21045","ZCTA5 21045","B19301_001",53227,3009
"180","21046","ZCTA5 21046","B19301_001",61464,3782
"181","21047","ZCTA5 21047","B19301_001",64367,5307
"182","21048","ZCTA5 21048","B19301_001",55800,5425
"183","21050","ZCTA5 21050","B19301_001",53046,3055
"184","21051","ZCTA5 21051","B19301_001",75983,25601
"185","21052","ZCTA5 21052","B19301_001",52147,21985
"186","21053","ZCTA5 21053","B19301_001",61122,8904
"187","21054","ZCTA5 21054","B19301_001",62213,5739
"188","21056","ZCTA5 21056","B19301_001",218436,80304
"189","21057","ZCTA5 21057","B19301_001",64304,7849
"190","21060","ZCTA5 21060","B19301_001",48058,2900
"191","21061","ZCTA5 21061","B19301_001",38445,1700
"192","21071","ZCTA5 21071","B19301_001",51958,11781
"193","21074","ZCTA5 21074","B19301_001",50571,3878
"194","21075","ZCTA5 21075","B19301_001",53091,2563
"195","21076","ZCTA5 21076","B19301_001",65489,4198
"196","21077","ZCTA5 21077","B19301_001",66516,30889
"197","21078","ZCTA5 21078","B19301_001",55075,4306
"198","21082","ZCTA5 21082","B19301_001",79572,22502
"199","21084","ZCTA5 21084","B19301_001",57980,8613
"200","21085","ZCTA5 21085","B19301_001",53546,5266
"201","21087","ZCTA5 21087","B19301_001",61057,4588
"202","21090","ZCTA5 21090","B19301_001",52345,3324
"203","21093","ZCTA5 21093","B19301_001",66680,3562
"204","21102","ZCTA5 21102","B19301_001",51635,4126
"205","21104","ZCTA5 21104","B19301_001",74924,6853
"206","21105","ZCTA5 21105","B19301_001",NA,NA
"207","21108","ZCTA5 21108","B19301_001",62037,3985
"208","21111","ZCTA5 21111","B19301_001",67127,7804
"209","21113","ZCTA5 21113","B19301_001",58205,3368
"210","21114","ZCTA5 21114","B19301_001",60928,4149
"211","21117","ZCTA5 21117","B19301_001",51246,2977
"212","21120","ZCTA5 21120","B19301_001",73297,8957
"213","21122","ZCTA5 21122","B19301_001",55485,3464
"214","21128","ZCTA5 21128","B19301_001",54332,4115
"215","21130","ZCTA5 21130","B19301_001",29757,52589
"216","21131","ZCTA5 21131","B19301_001",80073,10062
"217","21132","ZCTA5 21132","B19301_001",66072,14569
"218","21133","ZCTA5 21133","B19301_001",41838,3718
"219","21136","ZCTA5 21136","B19301_001",54898,3581
"220","21140","ZCTA5 21140","B19301_001",75037,8955
"221","21144","ZCTA5 21144","B19301_001",56109,3335
"222","21146","ZCTA5 21146","B19301_001",72385,4054
"223","21152","ZCTA5 21152","B19301_001",68763,9892
