"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"17","Ardmore Elementary","English",38.8965517241379,2023,16,"Prince George's",2008," English Language Arts All Grades","All Students","197","63",32,"12.2","55.8","30.5","<= 5.0",20241015,-6.89655172413793,"-8554525.534","4712240.4334","1976","Prince George's                                   ","16.164","9301 ARDWICK ARDMORE ROAD","SPRINGDALE","MD","20774","PreK-5","Elementary","ZCTA5 20774","B19301_001",60028,2920
"18","Argyle Middle","English",35.4924547283702,2023,15,"Montgomery",823," English Language Arts All Grades","All Students","953","332",34.8,"10.8","54.4","33.9","<= 5.0",20241015,-0.692454728370222,"-8577033.501","4734462.1784","2079","Montgomery                                        ","15.231","2400 BEL PRE ROAD","SILVER SPRING","MD","20906","6-8","Middle","ZCTA5 20906","B19301_001",43855,2171
"19","Arnold Elementary","English",61.8245614035088,2023,2,"Anne Arundel",2052," English Language Arts All Grades","All Students","251","185",73.7,"<= 5.0","25.5","60.2","13.5",20241015,11.8754385964912,"-8516383.2508","4726579.3715","2609","Anne Arundel                                      ","02.106","95 JOYCE LANE EAST","ARNOLD","MD","21012","K-5","Elementary","ZCTA5 21012","B19301_001",60885,3416
"20","Arrowhead Elementary","English",16.9031111111111,2023,16,"Prince George's",640," English Language Arts All Grades","All Students","207","33",15.9,"27.1","57.0","15.9","<= 5.0",20241015,-1.00311111111111,"-8554129.7199","4701186.9219","2035","Prince George's                                   ","16.074","2300 SANSBURY ROAD","UPPER MARLBORO","MD","20774","PreK-5","Elementary","ZCTA5 20774","B19301_001",60028,2920
"21","Arundel High","English",62.7,2023,2,"Anne Arundel",3013," English Language Arts All Grades","All Students","415","259",62.4,"<= 5.0","35.7","56.9","5.5",20241015,-0.300000000000004,"-8536201.3176","4731890.4152","2569","Anne Arundel                                      ","02.040","1001 ANNAPOLIS ROAD","GAMBRILLS","MD","21054","9-12","High","ZCTA5 21054","B19301_001",62213,5739
"22","Arundel Middle","English",58.7325603864734,2023,2,"Anne Arundel",3023," English Language Arts All Grades","All Students","1282","807",62.9,"<= 5.0","33.2","56.8","6.2",20241015,4.16743961352657,"-8536653.6562","4732066.0328","2564","Anne Arundel                                      ","02.057","1179 HAMMOND LANE","ODENTON","MD","21113","6-8","Middle","ZCTA5 21113","B19301_001",58205,3368
"23","Ashburton Elementary","English",53.1276102088167,2023,15,"Montgomery",425," English Language Arts All Grades","All Students","388","228",58.8,"<= 5.0","36.6","54.1","<= 5.0",20241015,5.67238979118329,"-8585786.0499","4724439.5182","2120","Montgomery                                        ","15.188","6314 LONE OAK DRIVE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
"24","Atholton Elementary","English",60.3946859903382,2023,13,"Howard",603," English Language Arts All Grades","All Students","217","136",62.7,"6.0","31.3","56.7","6.0",20241015,2.30531400966184,"-8556374.1209","4748323.1141","1601","Howard                                            ","13.030","6700 SENECA DRIVE","COLUMBIA","MD","21046","PreK-5","Elementary","ZCTA5 21046","B19301_001",61464,3782
"25","Atholton High","English",77.3891826923077,2023,13,"Howard",509," English Language Arts All Grades","All Students","365","221",60.5,"<= 5.0","37.0","55.1","5.5",20241015,-16.8891826923077,"-8558308.3281","4748644.3831","1807","Howard                                            ","13.013","6520 FREETOWN ROAD","COLUMBIA","MD","21044","9-12","High","ZCTA5 21044","B19301_001",67519,4010
"26","Avalon Elementary","English",24.2417525773196,2023,16,"Prince George's",1221," English Language Arts All Grades","All Students","110","39",35.5,"10.0","54.5","30.9","<= 5.0",20241015,11.2582474226804,"-8565157.2842","4691755.7818","2057","Prince George's                                   ","16.019","7302 WEBSTER LANE","FORT WASHINGTON","MD","20744","PreK-5","Elementary","ZCTA5 20744","B19301_001",51671,2307
