"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"336","Gladys Noon Spellman Elementary","Math",23.2815068493151,2023,16,"Prince George's",211," Mathematics All Grades","All Students","267","32",12,"37.8","50.2","10.9","<= 5.0",20241015,-11.2815068493151,"-8561277.0166","4711734.9718","2296","Prince George's                                   ","16.107","3324 64TH AVENUE","CHEVERLY","MD","20785","PreK-6","Elementary","ZCTA5 20785","B19301_001",36991,2470
"337","Glassmanor Elementary","Math",13.8913907284768,2023,16,"Prince George's",1214," Mathematics All Grades","All Students","144","15",10.4,"46.5","43.1","10.4","<= 5.0",20241015,-3.49139072847682,"-8570526.8348","4695528.1613","1997","Prince George's                                   ","16.141","1011 MARCY AVENUE","OXON HILL","MD","20745","PreK-6","Elementary","ZCTA5 20745","B19301_001",41479,2976
"338","Glen Burnie High","Math",6.6,2023,2,"Anne Arundel",1033," Mathematics All Grades","All Students","508","*",5,"41.7","54.1","<= 5.0","<= 5.0",20241015,-1.6,"-8528989.4215","4744676.6679","2342","Anne Arundel                                      ","02.020","7550 BALTIMORE-ANNAPOLIS BOULEVARD","GLEN BURNIE","MD","21060","9-12","High","ZCTA5 21060","B19301_001",48058,2900
"339","Glen Burnie Park Elementary","Math",15.7629921259843,2023,2,"Anne Arundel",3372," Mathematics All Grades","All Students","213","58",27.2,"24.9","47.9","26.3","<= 5.0",20241015,11.4370078740157,"-8531088.6834","4741766.3067","2458","Anne Arundel                                      ","02.073","500 MARLBORO ROAD","GLEN BURNIE","MD","21061","PreK-5","Elementary","ZCTA5 21061","B19301_001",38445,1700
"340","Glen Haven Elementary","Math",46.4671361502347,2023,15,"Montgomery",767," Mathematics All Grades","All Students","237","69",29.1,"28.7","42.2","27.0","<= 5.0",20241015,-17.3671361502347,"-8575728.7254","4726493.2691","2221","Montgomery                                        ","15.010","10900 INWOOD AVE","SILVER SPRING","MD","20902","PreK-5","Elementary","ZCTA5 20902","B19301_001",48887,2703
"341","Glenallan Elementary","Math",35.6413793103448,2023,15,"Montgomery",817," Mathematics All Grades","All Students","298","79",26.5,"28.2","45.3","25.2","<= 5.0",20241015,-9.14137931034483,"-8576212.1291","4730450.8845","2201","Montgomery                                        ","15.054","12520 HEURICH RD","SILVER SPRING","MD","20902","HS-5","Elementary","ZCTA5 20902","B19301_001",48887,2703
"342","Glenarden Woods Elementary","Math",83.7350543478261,2023,16,"Prince George's",2010," Mathematics All Grades","All Students","345","287",83.2,"<= 5.0","16.8","69.9","13.3",20241015,-0.53505434782609,"-8557028.7157","4712743.5058","1946","Prince George's                                   ","16.239","7801 GLENARDEN PARKWAY","LANHAM","MD","20706","2-5","Elementary","ZCTA5 20706","B19301_001",37413,1939
"343","Glendale Elementary","Math",30.2458536585366,2023,2,"Anne Arundel",1132," Mathematics All Grades","All Students","199","36",18.1,"21.6","60.3","18.1","<= 5.0",20241015,-12.1458536585366,"-8528172.087","4744757.6827","2551","Anne Arundel                                      ","02.065","105 CARROLL ROAD","GLEN BURNIE","MD","21060","PreK-5","Elementary","ZCTA5 21060","B19301_001",48058,2900
"344","Glenelg High","Math",73.959756097561,2023,13,"Howard",404," Mathematics All Grades","All Students","470","146",31.1,"13.2","55.7","28.5","<= 5.0",20241015,-42.859756097561,"-8571829.9312","4761198.8331","1832","Howard                                            ","13.061","14025 BURNT WOODS ROAD","GLENELG","MD","21737","9-12","High","ZCTA5 21737","B19301_001",96593,17625
"345","Glenmar Elementary","Math",19.4649350649351,2023,3,"Baltimore County",1518," Mathematics All Grades","All Students","137","29",21.2,"32.1","46.7","19.7","<= 5.0",20241015,1.73506493506493,"-8510106.2131","4771417.7737","1581","Baltimore County                                  ","03.175","9700 COMMUNITY DRIVE","BALTIMORE","MD","21220","PreK-5","Elementary","ZCTA5 21220","B19301_001",40691,2509
