"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"471","Kenwood High","English",52.729197080292,2023,3,"Baltimore County",1572," English Language Arts All Grades","All Students","648","232",35.8,"9.1","55.1","31.9","<= 5.0",20241015,-16.929197080292,"-8511972.7588","4768379.2321","2395","Baltimore County                                  ","03.148","501 STEMMERS RUN ROAD","BALTIMORE","MD","21221","9-12","High","ZCTA5 21221","B19301_001",37385,1756
"472","Kettering Elementary","English",11.2663540445487,2023,16,"Prince George's",1324," English Language Arts All Grades","All Students","189","86",45.5,"9.5","45.0","41.3","<= 5.0",20241015,34.2336459554514,"-8550913.0667","4706077.6805","1941","Prince George's                                   ","16.188","11000 LAYTON STREET","UPPER MARLBORO","MD","20774","PreK-5","Elementary","ZCTA5 20774","B19301_001",60028,2920
"473","Kettering Middle","English",28.28315437843,2023,16,"Prince George's",1326," English Language Arts All Grades","All Students","860","324",37.7,"13.3","49.1","35.0","<= 5.0",20241015,9.41684562157003,"-8550582.9511","4706588.797","2042","Prince George's                                   ","16.043","65 HERRINGTON DRIVE","UPPER MARLBORO","MD","20774","6-8","Middle","ZCTA5 20774","B19301_001",60028,2920
"474","Kingsford Elementary","English",19.5565919282511,2023,16,"Prince George's",729," English Language Arts All Grades","All Students","225","91",40.4,"7.6","52.0","36.4","<= 5.0",20241015,20.8434080717489,"-8548998.5714","4708540.1727","2299","Prince George's                                   ","16.133","1401 ENTERPRISE ROAD","MITCHELLVILLE","MD","20721","PreK-5","Elementary","ZCTA5 20721","B19301_001",70735,3451
"475","Kingsview Middle","English",50.8810663149962,2023,15,"Montgomery",708," English Language Arts All Grades","All Students","944","616",65.3,"<= 5.0","30.6","55.5","9.7",20241015,14.4189336850038,"-8603302.7785","4745501.4538","2109","Montgomery                                        ","15.200","18909 KINGSVIEW ROAD","GERMANTOWN","MD","20874","6-8","Middle","ZCTA5 20874","B19301_001",50989,2761
"476","Kingsville Elementary","English",49.4532608695652,2023,3,"Baltimore County",1104," English Language Arts All Grades","All Students","153","115",75.2,"<= 5.0","20.9","65.4","9.8",20241015,25.7467391304348,"-8506904.9195","4787261.3786","1473","Baltimore County                                  ","03.080","7300 SUNSHINE AVENUE","KINGSVILLE","MD","21087","K-5","Elementary","ZCTA5 21087","B19301_001",61057,4588
"477","Lake Arbor Elementary","English",14.2321472392638,2023,16,"Prince George's",1346," English Language Arts All Grades","All Students","249","101",40.6,"10.8","48.6","39.0","<= 5.0",20241015,26.3678527607362,"-8552638.7022","4707930.842","2049","Prince George's                                   ","16.234","10205 LAKE ARBOR WAY","MITCHELLVILLE","MD","20721","PreK-5","Elementary","ZCTA5 20721","B19301_001",70735,3451
"478","Lake Seneca Elementary","English",15.8033213644524,2023,15,"Montgomery",108," English Language Arts All Grades","All Students","170","55",32.4,"13.5","54.1","30.6","<= 5.0",20241015,16.5966786355476,"-8603113.2026","4747952.7349","2204","Montgomery                                        ","15.043","13600 WANEGARDEN DR","GERMANTOWN","MD","20874","PreK-5","Elementary","ZCTA5 20874","B19301_001",50989,2761
"479","Lake Shore Elementary","English",26.5003821656051,2023,2,"Anne Arundel",2162," English Language Arts All Grades","All Students","155","74",47.7,"<= 5.0","47.7","43.2","<= 5.0",20241015,21.1996178343949,"-8515181.8063","4736894.8465","2614","Anne Arundel                                      ","02.103","4531 MOUNTAIN ROAD","PASADENA","MD","21122","PreK-5","Elementary","ZCTA5 21122","B19301_001",55485,3464
"480","Lakelands Park Middle","English",51.2397132492659,2023,15,"Montgomery",522," English Language Arts All Grades","All Students","977","613",62.7,"5.5","31.7","59.3","<= 5.0",20241015,11.4602867507341,"-8597491.6312","4738211.1789","2288","Montgomery                                        ","15.261","1200 MAIN STREET","GAITHERSBURG","MD","20878","6-8","Middle","ZCTA5 20878","B19301_001",69898,2690
