X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8468060.1527,4752201.7951,2230,Kent                                              ,14.006,Garnett Elementary                                          ,320 CALVERT STREET,CHESTERTOWN,MD,21620,PreK-5,Elementary
-8470488.0301,4762620.8991,2231,Kent                                              ,14.007,Kent County High                                            ,25301 LAMBS MEADOW ROAD,WORTON,MD,21678,9-12,High
-8479327.9093,4795914.6267,2232,Harford                                           ,12.058,Aberdeen High                                               ,251 PARADISE ROAD,ABERDEEN,MD,21001,9-12,High
-8528183.9633,4656104.0951,2233,Calvert                                           ,04.028,Barstow Elementary                                          ,295 WILLIAMS ROAD,PRINCE FREDERICK,MD,20678,PreK-5,Elementary
-8429458.6465,4593795.4221,2234,Somerset                                          ,19.016,Somerset Intermediate School                                ,7970 TAWES CAMPUS DRIVE,WESTOVER,MD,21871,6-7,Middle
-8559181.6007,4819062.9278,2235,Carroll                                           ,06.055,Ebb Valley Elementary                                       ,3100 SWIPER ROAD,MANCHESTER,MD,21102,PreK-5,Elementary
-8497524.3219,4716023.5733,2236,Queen Anne's                                      ,17.025,Matapeake Middle School                                     ,671 ROMANCOKE ROAD,STEVENSVILLE,MD,21666,6-8,Middle
-8653636.0787,4804353.0431,2237,Washington                                        ,21.050,Rockland Woods Elementary                                   ,18201 ROCKLAND DRIVE,HAGERSTOWN,MD,21740,PreK-5,Elementary
-8386926.2822,4610507.3673,2238,Worcester                                         ,23.015,Worcester Technical High School                             ,6290 WORCESTER HIGHWAY,NEWARK,MD,21841,10-12,Career Tech
-8523018.1829,4621774.2408,2239,St. Mary's                                        ,18.031,Evergreen Elementary School                                 ,43765 EVERGREEN WAY,CALIFORNIA,MD,20619,PreK-5,Elementary
-8558098.2192,4815799.1831,2240,Carroll                                           ,06.057,Manchester Valley High                                      ,3300 MAPLE GROVE ROAD,MANCHESTER,MD,21102,9-12,High
-8574084.3147,4764976.6453,2241,Howard                                            ,13.085,Bushy Park Elementary                                       ,14601 CARRS MILL ROAD,GLENWOOD,MD,21738,PreK-5,Elementary
