school_system,school_name,assessment,x2023,x2024
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 10,68.0,70.0
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,61.8,60.3
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,63.8,63.8
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,66.0,67.5
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 03,38.7,38.9
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 04,47.7,46.2
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 05,32.7,35.7
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 06,46.8,40.5
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 07,48.8,44.9
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 08,51.3,44.5
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 10,62.1,60.8
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,39.7,40.3
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,44.4,41.8
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,49.0,43.3
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 03,41.3,37.2
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 04,40.4,40.2
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 05,31.1,33.7
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 06,40.3,38.7
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 07,39.9,38.3
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 08,40.7,39.5
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 10,43.7,45.8
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,37.4,37.0
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,38.9,38.0
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,40.3,38.8
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 03,34.3,32.2
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 04,34.5,37.0
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 05,33.7,32.0
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 06,36.1,42.1
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 07,23.9,34.8
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 08,28.6,30.4
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 10,34.6,30.6
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,34.2,33.7
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,31.8,34.7
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,29.3,35.7
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 03,60.2,58.5
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 04,58.9,63.6
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 05,52.9,57.6
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 06,58.6,61.2
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 07,57.4,59.6
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 08,56.1,58.8
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 10,71.4,60.6
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,57.3,59.9
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,57.3,59.9
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,57.4,59.8
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 03,50.4,46.1
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 04,44.6,52.3
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 05,41.6,43.4
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 06,55.7,43.3
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 07,48.1,52.1
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 08,51.8,56.0
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 10,63.7,56.3
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,45.4,47.3
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,48.6,49.0
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,51.7,50.5
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 03,58.6,55.5
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 04,59.2,61.8
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 05,47.6,55.8
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 06,57.5,61.5
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 07,53.5,57.4
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 08,51.1,52.4
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 10,59.1,53.7
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,55.1,57.8
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,54.5,57.4
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,54.0,57.1
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 03,62.7,63.3
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 04,62.2,61.8
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 05,55.2,59.5
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 06,61.7,59.9
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 07,61.7,62.3
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 08,60.3,61.5
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 10,64.2,71.9
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,60.1,61.5
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,60.7,61.4
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,61.2,61.3
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 03,36.8,47.5
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 04,47.3,39.8
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 05,42.1,36.7
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 06,30.5,36.7
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 07,40.1,33.6
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 08,38.7,36.6
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 10,58.9,58.1
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,42.2,41.3
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,39.3,38.4
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,36.5,35.7
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 03,57.6,54.9
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 04,57.6,55.9
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 05,50.5,52.0
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 06,53.3,54.2
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 07,54.1,55.3
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 08,52.7,52.7
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 10,55.1,61.0
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,55.2,54.2
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,54.3,54.2
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,53.4,54.1
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 03,35.5,32.9
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 04,37.2,35.4
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 05,30.3,32.0
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 06,42.4,35.9
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 07,38.5,38.2
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 08,38.4,32.9
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 10,47.9,45.1
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,34.3,33.4
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,37.0,34.5
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,39.8,35.6
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 03,55.8,52.5
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 04,62.1,61.4
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 05,53.4,52.6
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 06,60.5,60.3
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 07,62.5,57.6
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 08,60.4,60.6
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 10,67.3,62.6
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,57.1,55.5
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,59.2,57.5
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,61.1,59.4
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 03,49.3,48.5
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 04,52.6,56.0
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 05,48.5,47.9
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 06,57.8,59.1
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 07,53.1,54.7
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 08,55.4,51.8
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 10,65.2,65.6
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,50.1,50.8
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,52.8,52.9
